symbol	Ensembl_Gene	Ensembl_nuc	five_utr_written	cds_written	three_utr_written	error
ATP2B4	ENSG00000058668.18	ENST00000357681.10	True	True	True	
ATP4A	ENSG00000105675.10	ENST00000262623.4	True	True	True	
ATP4B	ENSG00000186009.5	ENST00000335288.5	True	True	True	
ATP5F1A	ENSG00000152234.18	ENST00000398752.11	True	True	True	
ALDH7A1	ENSG00000164904.20	ENST00000409134.8	True	True	True	
ATP5F1B	ENSG00000110955.11	ENST00000262030.8	True	True	True	
ATP5F1C	ENSG00000165629.22	ENST00000356708.12	True	True	True	
ATP5F1D	ENSG00000099624.10	ENST00000215375.7	True	True	True	
ATP5F1E	ENSG00000124172.12	ENST00000243997.8	True	True	True	
ATP5PB	ENSG00000116459.13	ENST00000369722.8	True	True	True	
ATP5MC1	ENSG00000159199.16	ENST00000393366.7	True	True	True	
ATP5MC2	ENSG00000135390.23	ENST00000394349.9	True	True	True	
ATP5MC3	ENSG00000154518.12	ENST00000284727.9	True	True	True	
ATP5ME	ENSG00000169020.12	ENST00000304312.5	True	True	True	
ATP5PF	ENSG00000154723.15	ENST00000284971.8	True	True	True	
ATP6V1A	ENSG00000114573.14	ENST00000273398.8	True	True	True	
ATP6V1B1	ENSG00000116039.15	ENST00000234396.10	True	True	True	
ATP6V1B2	ENSG00000147416.14	ENST00000276390.7	True	True	True	
ATP6V0C	ENSG00000185883.14	ENST00000330398.9	True	True	True	
ATP6V1C1	ENSG00000155097.14	ENST00000518738.2	True	True	True	
ATP6V1E1	ENSG00000131100.15	ENST00000253413.10	True	True	True	
ATP6V0B	ENSG00000117410.16	ENST00000472174.7	True	True	True	
ATP6V1G2	ENSG00000213760.12	ENST00000303892.10	True	True	True	
ATP6V0A1	ENSG00000033627.20	ENST00000343619.9	True	True	True	
ATP6AP1	ENSG00000071553.20	ENST00000369762.7	True	True	True	
ATP7A	ENSG00000165240.23	ENST00000341514.11	True	True	True	
ATP5PO	ENSG00000241837.9	ENST00000290299.7	True	True	True	
ATP7B	ENSG00000123191.20	ENST00000242839.10	True	True	True	
ATR	ENSG00000175054.18	ENST00000350721.9	True	True	True	
ATRX	ENSG00000085224.24	ENST00000373344.11	True	True	True	
KIF1A	ENSG00000130294.20	ENST00000498729.9	True	True	True	
AUH	ENSG00000148090.14	ENST00000375731.9	True	True	True	
AUP1	ENSG00000115307.19	ENST00000377526.4	True	True	True	
AVP	ENSG00000101200.5	ENST00000380293.3	True	True	True	
AVPR1A	ENSG00000166148.5	ENST00000299178.4	True	True	True	
AVPR1B	ENSG00000198049.8	ENST00000367126.5	True	True	True	
AVPR2	ENSG00000126895.18	ENST00000646375.2	True	True	True	
AXL	ENSG00000167601.14	ENST00000301178.9	True	True	True	
AZGP1	ENSG00000160862.15	ENST00000292401.9	True	True	True	
AZU1	ENSG00000172232.11	ENST00000233997.4	True	True	True	
B2M	ENSG00000166710.25	ENST00000648006.3	True	True	True	
BAAT	ENSG00000136881.14	ENST00000259407.7	True	True	True	
BACH1	ENSG00000156273.18	ENST00000286800.8	True	True	True	
BAD	ENSG00000002330.16	ENST00000309032.8	True	True	True	
BAG1	ENSG00000107262.27	ENST00000634734.3	True	True	True	
ADGRB1	ENSG00000181790.14	ENST00000517894.6	True	True	True	
ADGRB2	ENSG00000121753.13	ENST00000373658.8	True	True	True	
ADGRB3	ENSG00000135298.16	ENST00000370598.6	True	True	True	
BAK1	ENSG00000030110.16	ENST00000374467.4	True	True	True	
NKX3-2	ENSG00000109705.9	ENST00000382438.6	True	True	True	
BARD1	ENSG00000138376.13	ENST00000260947.9	True	True	True	
BAX	ENSG00000087088.23	ENST00000345358.12	True	True	True	
BBS1	ENSG00000174483.22	ENST00000318312.12	True	True	True	
BBS2	ENSG00000125124.16	ENST00000245157.11	True	True	True	
BBS4	ENSG00000140463.17	ENST00000268057.9	True	True	True	
BCAT1	ENSG00000060982.17	ENST00000261192.12	True	True	True	
BCAT2	ENSG00000105552.17	ENST00000316273.11	True	True	True	
BCHE	ENSG00000114200.12	ENST00000264381.8	True	True	True	
BCKDHA	ENSG00000248098.14	ENST00000269980.7	True	True	True	
BCKDHB	ENSG00000083123.17	ENST00000320393.9	True	True	True	
CCND1	ENSG00000110092.6	ENST00000227507.3	True	True	True	
BCL2	ENSG00000171791.15	ENST00000333681.5	True	True	True	
